app_id,name,release_date,is_free,developer,publisher,owners_range,price
3612,Mystery P.I. - Lost in Los Angeles Demo,2009-07-27,1,SpinTop Games,"PopCap Games, Inc.","0 .. 20,000",0.0
3620,Zuma's Revenge!,2009-09-15,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","200,000 .. 500,000",4.99
3622,Zuma's Revenge! Demo,2009-09-15,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3700,Sniper Elite,2009-07-16,0,Rebellion,Rebellion,"500,000 .. 1,000,000",7.99
3710,Judge Dredd: Dredd vs. Death,2009-03-26,0,Rebellion,Rebellion,"100,000 .. 200,000",7.99
3720,Evil Genius,2009-06-22,0,Elixir Studios,Rebellion,"200,000 .. 500,000",9.99
3730,Aliens versus Predator Classic 2000,2010-01-15,0,Rebellion,Rebellion,"200,000 .. 500,000",4.99
3800,Advent Rising,2006-09-14,0,"GlyphX Games, Cavetap",Ziggurat,"50,000 .. 100,000",9.99
3810,BloodRayne (Legacy),2006-09-14,0,Terminal Reality,Ziggurat,"50,000 .. 100,000",0.0
3820,BloodRayne 2 (Legacy),2006-09-14,0,Terminal Reality,Ziggurat,"50,000 .. 100,000",0.0
3830,Psychonauts,2006-10-11,0,Double Fine Productions,Double Fine Productions,"2,000,000 .. 5,000,000",9.99
3850,BloodRayne 2 Demo,2006-11-07,1,Terminal Reality,Majesco,"0 .. 20,000",0.0
3900,Sid Meier's Civilization® IV,2006-10-25,0,Firaxis Games,2K,"1,000,000 .. 2,000,000",19.99
3910,Sid Meier's Civilization® III Complete,2006-10-25,0,Firaxis Games,2K,"1,000,000 .. 2,000,000",4.99
3920,Sid Meier's Pirates!,2005-07-11,0,Firaxis Games,2K,"200,000 .. 500,000",9.99
3960,Shattered Union,2006-10-25,0,PopTop,2K,"20,000 .. 50,000",4.99
3980,CivCity: Rome,2007-04-06,0,"FireFly Studios, Firaxis Games",2K,"100,000 .. 200,000",9.99
3990,Civilization IV®: Warlords,2007-04-06,0,Firaxis Games,2K,"200,000 .. 500,000",4.99
4000,Garry's Mod,2006-11-29,0,Facepunch Studios,Valve,"20,000,000 .. 50,000,000",9.99
4100,Poker Superstars II,2006-10-05,0,Funkitron,Nucleosys,"0 .. 20,000",9.99
4102,Poker Superstars II Demo,N,1,Funkitron,Funkitron,"0 .. 20,000",0.0
4230,RACE - The WTCC Game,2006-11-24,0,SimBin,SimBin,"0 .. 20,000",39.99
4260,RACE 07 Demo,2007-09-07,1,SimBin,SimBin,"0 .. 20,000",0.0
4290,RACE: Caterham Expansion,2007-06-22,0,SimBin,SimBin,"0 .. 20,000",3.99
4300,RoboBlitz,2006-11-07,0,Naked Sky Entertainment,N,"20,000 .. 50,000",9.99
4310,RoboBlitz Demo,2006-11-07,1,Naked Sky Entertainment,Naked Sky Entertainment,"0 .. 20,000",0.0
4420,Silverfall,2007-03-20,0,Monte Cristo,Focus Entertainment,"20,000 .. 50,000",0.74
4440,Silverfall Demo,2007-03-09,1,Monte Cristo,Monte Cristo,"0 .. 20,000",0.0
4460,City Life 2008,2008-09-29,0,Monte Cristo,Focus Entertainment,"20,000 .. 50,000",0.99
4470,Silverfall: Earth Awakening,2008-07-18,0,Monte Cristo,Focus Entertainment,"20,000 .. 50,000",0.74
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,0,GSC Game World,GSC Game World,"1,000,000 .. 2,000,000",19.99
4520,Full Spectrum Warrior,2007-07-17,0,Pandemic Studios,THQ Nordic,"100,000 .. 200,000",9.99
4530,Full Spectrum Warrior: Ten Hammers,2007-07-17,0,Pandemic Studios,THQ Nordic,"50,000 .. 100,000",9.99
4560,Company of Heroes - Legacy Edition,2007-07-17,0,Relic Entertainment,SEGA,"2,000,000 .. 5,000,000",36.99
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition",2007-08-07,0,Relic Entertainment,SEGA,"1,000,000 .. 2,000,000",34.99
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007-08-07,0,Relic Entertainment,SEGA,"1,000,000 .. 2,000,000",0.0
4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,0,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","1,000,000 .. 2,000,000",24.99
4710,Medieval II: Total War™ Demo,2006-11-10,1,The Creative Assembly,SEGA,"0 .. 20,000",0.0
4720,Condemned: Criminal Origins,2012-10-29,0,Monolith,SEGA,"200,000 .. 500,000",14.95
4760,Rome: Total War™ - Collection,2007-08-28,0,CREATIVE ASSEMBLY,SEGA,"500,000 .. 1,000,000",0.0
4770,Rome: Total War™ - Alexander,2007-08-28,0,The Creative Assembly,SEGA,"500,000 .. 1,000,000",0.0
4780,Medieval II: Total War™ Kingdoms,2007-08-28,0,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","200,000 .. 500,000",24.99
4800,Heroes of Annihilated Empires,2006-11-22,0,GSC Game World,GSC Game World,"100,000 .. 200,000",7.99
4810,Heroes of Annihilated Empires Demo,2006-11-16,1,GSC Game World,GSC Game World,"0 .. 20,000",0.0
4820,Heroes... Multiplayer Demo,2007-03-06,1,GSC Game World,GSC Game World,"0 .. 20,000",0.0
4850,Cossacks: Back to War,2010-09-02,0,GSC Game World,GSC World Publishing,"200,000 .. 500,000",4.99
4870,Cossacks: Art of War,2011-08-26,0,GSC Game World,GSC World Publishing,"50,000 .. 100,000",4.99
4880,Cossacks: European Wars,2011-08-26,0,GSC Game World,GSC World Publishing,"50,000 .. 100,000",4.99
4890,Cossacks II: Battle for Europe,2011-08-26,0,GSC Game World,GSC World Publishing,"200,000 .. 500,000",4.99
4900,Zen of Sudoku,2006-12-14,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"20,000 .. 50,000",0.0
4920,Natural Selection 2,2012-10-30,0,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"1,000,000 .. 2,000,000",4.99
6000,STAR WARS™ Republic Commando™,2009-07-08,0,LucasArts,"LucasArts, Lucasfilm, Disney","1,000,000 .. 2,000,000",9.99
